"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.305255417E-1,-2.681715786E-1,1.527995467E-1,-3.938401043E-1
8.404705417E-1,-1.488544345E-1,3.151781857E-2,-3.385966718E-1
8.504155417E-1,3.192520142E-2,-5.038503930E-2,-3.069415390E-1
8.603595417E-1,2.140641958E-1,-1.292003095E-1,-3.129586577E-1
8.703045417E-1,3.418865800E-1,-2.135553956E-1,-3.403487206E-1
8.802485417E-1,4.066054225E-1,-2.571001053E-1,-3.496097922E-1
8.901935417E-1,4.101335704E-1,-2.148267031E-1,-3.294944167E-1
9.001385417E-1,3.647471666E-1,-6.608951837E-2,-3.172428608E-1
9.100825417E-1,2.894763649E-1,1.287859678E-1,-3.205731511E-1
9.200275417E-1,2.228950560E-1,2.585194707E-1,-3.373702168E-1
9.299725417E-1,2.134560198E-1,2.877580523E-1,-4.051330090E-1
9.399165417E-1,2.925553620E-1,2.421512604E-1,-4.396961927E-1
9.498615417E-1,3.742193282E-1,1.167659014E-1,-4.182862341E-1
9.598065417E-1,4.468400180E-1,-9.235422127E-3,-3.513861299E-1
9.697505417E-1,5.146046877E-1,-8.295465261E-2,-3.089952469E-1
9.796955417E-1,5.647414327E-1,-9.589448571E-2,-3.116786778E-1
9.896405417E-1,5.823974013E-1,-1.153800339E-1,-3.278382123E-1
9.995845417E-1,5.745986104E-1,-1.475527883E-1,-2.900280654E-1
1.009529542E0,4.982517064E-1,-1.781122983E-1,-2.239315957E-1
1.019474542E0,3.666875362E-1,-1.894702464E-1,-1.427840739E-1
1.029418542E0,1.894296706E-1,-2.235816121E-1,-6.750262529E-2
1.039363542E0,7.192597724E-3,-2.299142778E-1,-1.258489396E-2
1.049308542E0,-1.436432451E-1,-2.006711662E-1,-3.031648882E-2
1.059252542E0,-2.097464949E-1,-2.388015836E-1,-1.406902224E-1
1.069197542E0,-2.874029279E-1,-2.099853754E-1,-2.695574164E-1
1.079142542E0,-3.285460174E-1,-1.394860595E-1,-3.321892917E-1
1.089086542E0,-3.719989359E-1,-2.189390659E-1,-3.202756345E-1
1.099031542E0,-3.895800114E-1,-2.294203490E-1,-2.582422495E-1
1.108975542E0,-4.037642777E-1,-2.594403028E-1,-2.310260534E-1
1.118920542E0,-3.915504515E-1,-2.495444417E-1,-2.214144021E-1
1.128865542E0,-3.669969141E-1,-2.458636761E-1,-2.068844587E-1
1.138809542E0,-3.314326108E-1,-2.429281026E-1,-1.677120328E-1
1.148754542E0,-4.104816318E-1,-2.531181574E-1,-5.857489258E-2
1.158699542E0,-6.128199100E-1,-8.168687671E-2,1.457837075E-1
1.168643542E0,-7.703427076E-1,1.111787185E-1,3.182044923E-1
1.178588542E0,-8.590674996E-1,7.816378027E-2,3.663651049E-1
1.188533542E0,-8.000153303E-1,1.855611056E-2,3.158039153E-1
1.198477542E0,-6.378502250E-1,2.554139867E-2,2.308698148E-1
1.208422542E0,-5.371438265E-1,4.740941525E-2,1.905831099E-1
1.218367542E0,-4.799396992E-1,1.561036408E-1,2.273904532E-1
1.228311542E0,-4.123470783E-1,3.074335158E-1,2.821114957E-1
1.238256542E0,-2.897253633E-1,3.809775710E-1,3.049719036E-1
1.248201542E0,-1.243300214E-1,3.030561209E-1,3.495809138E-1
1.258145542E0,2.152428962E-2,1.986566335E-1,3.967123330E-1
1.268090542E0,1.106333956E-1,2.153338790E-1,4.270057976E-1
1.278035542E0,1.697108299E-1,3.464500010E-1,4.525605738E-1
1.287979542E0,1.914052069E-1,4.910886884E-1,4.789146781E-1
1.297924542E0,1.865212321E-1,5.766752958E-1,4.869354963E-1
1.307869542E0,1.796513349E-1,6.043220758E-1,4.676768482E-1
1.317813542E0,1.879876703E-1,5.599874854E-1,4.051313400E-1
1.327758542E0,1.999740303E-1,4.835067987E-1,2.942700684E-1
1.337703542E0,2.019749433E-1,3.867065012E-1,1.778260320E-1
1.347647542E0,1.767654717E-1,2.674730718E-1,7.304529101E-2
1.357593833E0,1.379433274E-1,1.439017206E-1,-1.327935234E-2
1.367537833E0,9.911230952E-2,3.939900547E-2,-7.597096264E-2
1.377482833E0,6.517635286E-2,-3.470143303E-2,-1.053513512E-1
1.387427833E0,5.602759868E-2,-8.824855089E-2,-9.895204008E-2
1.397371833E0,9.271574020E-2,-8.924603462E-2,-5.770346150E-2
1.407316833E0,1.595786512E-1,-1.804616116E-2,-3.050337546E-3
1.417261833E0,2.300231755E-1,7.666414231E-2,4.031753540E-2
1.427205833E0,2.845545709E-1,1.400343329E-1,6.919099391E-2
1.437150833E0,3.329576850E-1,1.980697364E-1,8.588664979E-2
1.447095833E0,3.565471768E-1,2.038288116E-1,9.501809627E-2
1.457039833E0,3.759990931E-1,1.477969736E-1,1.037906706E-1
1.466984833E0,3.942502737E-1,6.990350783E-2,1.272440553E-1
1.476929833E0,4.125825167E-1,1.081266999E-2,1.468287259E-1
1.486873833E0,4.175663590E-1,-2.864871733E-2,1.555223465E-1
1.496818833E0,3.915611804E-1,-4.854464158E-2,1.642123163E-1
1.506763833E0,3.358422518E-1,-5.245815590E-2,1.704923213E-1
1.516707833E0,2.687238455E-1,-5.619264394E-2,1.644224674E-1
