"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.504155417E-1,-4.843693479E-1,8.628889628E-2,7.414035559E-2
8.603595417E-1,-4.103949070E-1,-3.128450409E-2,9.385541260E-2
8.703045417E-1,-4.601157552E-1,-2.310962883E-1,1.881265622E-1
8.802485417E-1,-5.886265917E-1,-2.466812376E-1,2.055302149E-1
8.901935417E-1,-5.605109496E-1,-1.284740721E-1,1.614223284E-1
9.001385417E-1,-3.936400395E-1,-1.719579146E-1,1.697130954E-1
9.100825417E-1,-1.964395122E-1,-3.778420322E-1,1.715836197E-1
9.200275417E-1,-2.064403340E-2,-3.982626289E-1,1.708363456E-1
9.299725417E-1,-8.012728315E-2,-3.270895891E-1,1.770390719E-1
9.399165417E-1,-3.141407473E-1,-3.315674599E-1,1.805491555E-1
9.498615417E-1,-3.812914509E-1,-3.215081294E-1,3.786399579E-1
9.598065417E-1,-3.714155037E-1,-3.107434054E-1,5.420906854E-1
9.697505417E-1,-2.551073677E-1,-1.038233073E-1,6.664270484E-1
9.796955417E-1,-2.100000458E-1,-3.463422775E-2,5.171078718E-1
9.896405417E-1,-3.126764949E-1,-1.006307276E-1,3.226873666E-1
9.995845417E-1,-4.402076304E-1,8.476167664E-2,7.565303028E-2
1.009529542E0,-5.625683655E-1,-3.492030278E-2,-2.393399853E-1
1.019474542E0,-5.303668718E-1,-1.479231539E-1,-7.639609444E-1
1.029418542E0,-5.186563607E-1,-2.046683353E-1,-1.018993102E0
1.039363542E0,-4.078777903E-1,-1.128281656E-1,-1.153831065E0
1.049308542E0,-1.306375419E-1,1.256756678E-2,-1.235789148E0
1.059252542E0,2.400701563E-1,3.444809626E-1,-1.045382756E0
1.069197542E0,1.504183801E-1,3.457479081E-1,-9.196103168E-1
1.079142542E0,-1.464298481E-1,-3.302020620E-1,-1.420951756E0
1.089086542E0,1.641753437E-1,-3.573951231E-1,-8.139002591E-1
1.099031542E0,3.523349427E-2,-2.455207846E-1,-5.173224646E-1
1.108975542E0,-4.358160791E-1,-2.713108063E-1,-3.670221251E-1
1.118920542E0,-4.994715730E-1,-1.973403854E-1,-1.780477166E-1
1.128865542E0,-4.698423426E-1,-2.971967223E-1,-6.398900449E-2
1.138809542E0,-2.974841861E-1,-5.303665794E-1,1.891726291E-1
1.148754542E0,-1.203413078E-1,-5.123585439E-1,4.260942060E-1
1.158699542E0,-1.344875132E-1,-2.757722318E-2,2.666546685E-1
1.168643542E0,-2.158893432E-1,1.107467030E-1,-2.326560330E-1
1.178588542E0,-1.358262149E-1,-1.688326509E-1,1.270687670E-1
1.188533542E0,5.715046652E-2,-9.681315355E-2,3.135364741E-1
1.198477542E0,1.043720685E-2,-2.070955145E-1,9.784204423E-2
1.208422542E0,-4.707326543E-2,-4.796545552E-1,2.635357636E-1
